id	result	reason	exit_code	duration_sec	log_file
setup-env	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/1-setup-env_.log
setup-git-hooks	PASS	OK	0	41	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/2-setup-git-hooks_.log
gather	PASS	OK	0	16	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/3-gather_.log
clarify	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/4-clarify_.log
plan	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/5-plan_.log
review	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/6-review_.log
impl	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/7-impl_.log
refactor	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/8-refactor_.log
retro	PASS	OK	0	32	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/9-retro_.log
handoff	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/10-handoff_.log
ship	PASS	OK	0	6	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/11-ship_.log
update	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/12-update_.log
run	FAIL	WAIT_INPUT	0	38	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/13-run_.log
hitl	TIMEOUT	TIMEOUT	124	60	.cwf/projects/260219-01-pre-release-audit-pass2/iter2/artifacts/skill-smoke-260219-143747/14-hitl_.log
